OBJECTID,Type,Provider,Location,Latitude,Longitude,X,Y,Location_T,City,Borough_Name,Neighborhood_Tabulation_Area_Code,Neighborhood_Tabulation_Area,Location_points
10604,Limited Free,SPECTRUM,Park Perimeter,40.67486,-73.78412,1044131.897,185219.8921,Outdoor TWC Aerial,Queens,Queens,QN02,Springfield Gardens North,"(40.6748599999, -73.7841200005)"
10555,Limited Free,SPECTRUM,Park Perimeter,40.74756,-73.81815,1034637.511,211685.2178,Outdoor TWC Aerial,Queens,Queens,QN22,Flushing,"(40.7475599996, -73.8181499997)"
12370,Free,Transit Wireless,Grand St (L),40.711926,-73.94067,1000698.128,198655.9088,Subway Station,Brooklyn,Brooklyn,BK90,East Williamsburg,"(40.7119259997, -73.9406699994)"
9893,Free,Downtown Brooklyn,125 Court St.,40.689985,-73.991995,986469.9663,190656.6804,Outdoor,Brooklyn,Brooklyn,BK09,Brooklyn Heights-Cobble Hill,"(40.6899850001, -73.9919950004)"
10169,Free,Transit Wireless,Lexington Av-63 St (F),40.76463,-73.966115,993636.5521,217853.8882,Subway Station,New York,Manhattan,MN40,Upper East Side-Carnegie Hill,"(40.7646300002, -73.9661150001)"
10880,Limited Free,SPECTRUM,Park Perimeter,40.74243,-73.81151,1036481.359,209820.0886,Outdoor TWC Aerial,Queens,Queens,QN62,Queensboro Hill,"(40.7424300003, -73.8115100003)"
10953,Free,Harlem,Pole 94 - LenWS1N133,40.812944,-73.941693,1000390.022,235459.8933,Outdoor,New York,Manhattan,MN03,Central Harlem North-Polo Grounds,"(40.812944, -73.9416929996)"
11018,Free,BPL,380 WASHINGTON AVENUE,40.68737909,-73.96603067,993670.8279,189708.9979,Library,Brooklyn,Brooklyn,BK69,Clinton Hill,"(40.6873790941, -73.966030666)"
12375,Free,Transit Wireless,Halsey St (L),40.695602,-73.904084,1010847.417,192717.5789,Subway Station,Brooklyn,Queens,QN20,Ridgewood,"(40.6956020001, -73.9040840004)"
12607,Free,Transit Wireless,"Broadway Junction (A,C,J,L,Z)",40.678334,-73.905316,1010512.585,186425.9753,Subway Station,Brooklyn,Brooklyn,BK79,Ocean Hill,"(40.6783340002, -73.9053160001)"
11726,Limited Free,ALTICEUSA,CROTONA PARK C/O EAST 173RD ST AND FULTON AVE,40.840664,-73.898372,1012370.032,245570.2432,Outdoor,Bronx,Bronx,BX01,Claremont-Bathgate,"(40.8406639999, -73.8983720002)"
9823,Free,Fiberless,Liggett B Food Court,40.69039,-74.01996,978714.6771,190804.7628,Outdoor,New York,Manhattan,MN99,Governors Island,"(40.6903899996, -74.0199599995)"
10915,Free,Harlem,pole 51n - 131NWC5th,40.81026,-73.93951,1000994.976,234482.4264,Outdoor,New York,Manhattan,MN03,Central Harlem North-Polo Grounds,"(40.81026, -73.9395100003)"
12084,Free,LinkNYC - Citybridge,181 Court Street,40.6879008,-73.99314691,986150.5753,189897.3184,Outdoor Kiosk,Brooklyn,Brooklyn,BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,"(40.6879008003, -73.9931469103)"
